REF_DATE,GEO,DGUID,Companies,Diesel fuel consumption,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VALUE
1986,Canada,2016A000011124,Total companies,Total diesel,Litres,203,thousands,3,2168059
1986,Canada,2016A000011124,Total companies,"Diesel, freight",Litres,203,thousands,3,1826526
1986,Canada,2016A000011124,Total companies,"Diesel, passenger",Litres,203,thousands,3,200549
1986,Canada,2016A000011124,Total companies,"Diesel, yard switching",Litres,203,thousands,3,114676
1986,Canada,2016A000011124,Total companies,"Diesel, work train",Litres,203,thousands,3,26308
1986,Canada,2016A000011124,Total companies,Total cost of diesel fuel,Dollars,81,units ,0,651231694
1986,Canada,2016A000011124,Canadian National,Total diesel,Litres,203,thousands,3,1029150
1986,Canada,2016A000011124,Canadian National,"Diesel, freight",Litres,203,thousands,3,907298
1986,Canada,2016A000011124,Canadian National,"Diesel, passenger",Litres,203,thousands,3,54604
1986,Canada,2016A000011124,Canadian National,"Diesel, yard switching",Litres,203,thousands,3,57998
1986,Canada,2016A000011124,Canadian National,"Diesel, work train",Litres,203,thousands,3,9249
1986,Canada,2016A000011124,Canadian National,Total cost of diesel fuel,Dollars,81,units ,0,318818032
1986,Canada,2016A000011124,Canadian Pacific,Total diesel,Litres,203,thousands,3,835499
1986,Canada,2016A000011124,Canadian Pacific,"Diesel, freight",Litres,203,thousands,3,777698
1986,Canada,2016A000011124,Canadian Pacific,"Diesel, passenger",Litres,203,thousands,3,0
1986,Canada,2016A000011124,Canadian Pacific,"Diesel, yard switching",Litres,203,thousands,3,45370
1986,Canada,2016A000011124,Canadian Pacific,"Diesel, work train",Litres,203,thousands,3,12431
1986,Canada,2016A000011124,Canadian Pacific,Total cost of diesel fuel,Dollars,81,units ,0,243389009
1986,Canada,2016A000011124,VIA Rail,Total diesel,Litres,203,thousands,3,137747
1986,Canada,2016A000011124,VIA Rail,"Diesel, freight",Litres,203,thousands,3,0
1986,Canada,2016A000011124,VIA Rail,"Diesel, passenger",Litres,203,thousands,3,137747
1986,Canada,2016A000011124,VIA Rail,"Diesel, yard switching",Litres,203,thousands,3,0
1986,Canada,2016A000011124,VIA Rail,"Diesel, work train",Litres,203,thousands,3,0
1986,Canada,2016A000011124,VIA Rail,Total cost of diesel fuel,Dollars,81,units ,0,39788800
1986,Canada,2016A000011124,Regional railways,Total diesel,Litres,203,thousands,3,165663
1986,Canada,2016A000011124,Regional railways,"Diesel, freight",Litres,203,thousands,3,141530
1986,Canada,2016A000011124,Regional railways,"Diesel, passenger",Litres,203,thousands,3,8198
1986,Canada,2016A000011124,Regional railways,"Diesel, yard switching",Litres,203,thousands,3,11308
1986,Canada,2016A000011124,Regional railways,"Diesel, work train",Litres,203,thousands,3,4628
1986,Canada,2016A000011124,Regional railways,Total cost of diesel fuel,Dollars,81,units ,0,49235853
1987,Canada,2016A000011124,Total companies,Total diesel,Litres,203,thousands,3,2191002
1987,Canada,2016A000011124,Total companies,"Diesel, freight",Litres,203,thousands,3,1895467
1987,Canada,2016A000011124,Total companies,"Diesel, passenger",Litres,203,thousands,3,153233
1987,Canada,2016A000011124,Total companies,"Diesel, yard switching",Litres,203,thousands,3,118622
1987,Canada,2016A000011124,Total companies,"Diesel, work train",Litres,203,thousands,3,23680
1987,Canada,2016A000011124,Total companies,Total cost of diesel fuel,Dollars,81,units ,0,656830418
1987,Canada,2016A000011124,Canadian National,Total diesel,Litres,203,thousands,3,995041
1987,Canada,2016A000011124,Canadian National,"Diesel, freight",Litres,203,thousands,3,924638
1987,Canada,2016A000011124,Canadian National,"Diesel, passenger",Litres,203,thousands,3,0
1987,Canada,2016A000011124,Canadian National,"Diesel, yard switching",Litres,203,thousands,3,60290
1987,Canada,2016A000011124,Canadian National,"Diesel, work train",Litres,203,thousands,3,10113
1987,Canada,2016A000011124,Canadian National,Total cost of diesel fuel,Dollars,81,units ,0,320653715
1987,Canada,2016A000011124,Canadian Pacific,Total diesel,Litres,203,thousands,3,884793
1987,Canada,2016A000011124,Canadian Pacific,"Diesel, freight",Litres,203,thousands,3,828670
1987,Canada,2016A000011124,Canadian Pacific,"Diesel, passenger",Litres,203,thousands,3,0
1987,Canada,2016A000011124,Canadian Pacific,"Diesel, yard switching",Litres,203,thousands,3,47461
1987,Canada,2016A000011124,Canadian Pacific,"Diesel, work train",Litres,203,thousands,3,8662
1987,Canada,2016A000011124,Canadian Pacific,Total cost of diesel fuel,Dollars,81,units ,0,256105141
1987,Canada,2016A000011124,VIA Rail,Total diesel,Litres,203,thousands,3,145475
1987,Canada,2016A000011124,VIA Rail,"Diesel, freight",Litres,203,thousands,3,0
1987,Canada,2016A000011124,VIA Rail,"Diesel, passenger",Litres,203,thousands,3,145475
1987,Canada,2016A000011124,VIA Rail,"Diesel, yard switching",Litres,203,thousands,3,0
1987,Canada,2016A000011124,VIA Rail,"Diesel, work train",Litres,203,thousands,3,0
1987,Canada,2016A000011124,VIA Rail,Total cost of diesel fuel,Dollars,81,units ,0,33299000
1987,Canada,2016A000011124,Regional railways,Total diesel,Litres,203,thousands,3,165693
1987,Canada,2016A000011124,Regional railways,"Diesel, freight",Litres,203,thousands,3,142159
1987,Canada,2016A000011124,Regional railways,"Diesel, passenger",Litres,203,thousands,3,7758
1987,Canada,2016A000011124,Regional railways,"Diesel, yard switching",Litres,203,thousands,3,10871
1987,Canada,2016A000011124,Regional railways,"Diesel, work train",Litres,203,thousands,3,4904
1987,Canada,2016A000011124,Regional railways,Total cost of diesel fuel,Dollars,81,units ,0,46772562
1988,Canada,2016A000011124,Total companies,Total diesel,Litres,203,thousands,3,2220346
1988,Canada,2016A000011124,Total companies,"Diesel, freight",Litres,203,thousands,3,1954146
1988,Canada,2016A000011124,Total companies,"Diesel, passenger",Litres,203,thousands,3,125356
1988,Canada,2016A000011124,Total companies,"Diesel, yard switching",Litres,203,thousands,3,118128
1988,Canada,2016A000011124,Total companies,"Diesel, work train",Litres,203,thousands,3,22716
1988,Canada,2016A000011124,Total companies,Total cost of diesel fuel,Dollars,81,units ,0,656075749
1988,Canada,2016A000011124,Canadian National,Total diesel,Litres,203,thousands,3,1035511
1988,Canada,2016A000011124,Canadian National,"Diesel, freight",Litres,203,thousands,3,966816
1988,Canada,2016A000011124,Canadian National,"Diesel, passenger",Litres,203,thousands,3,0
1988,Canada,2016A000011124,Canadian National,"Diesel, yard switching",Litres,203,thousands,3,58909
1988,Canada,2016A000011124,Canadian National,"Diesel, work train",Litres,203,thousands,3,9787
1988,Canada,2016A000011124,Canadian National,Total cost of diesel fuel,Dollars,81,units ,0,320435509
1988,Canada,2016A000011124,Canadian Pacific,Total diesel,Litres,203,thousands,3,885311
1988,Canada,2016A000011124,Canadian Pacific,"Diesel, freight",Litres,203,thousands,3,829976
1988,Canada,2016A000011124,Canadian Pacific,"Diesel, passenger",Litres,203,thousands,3,0
1988,Canada,2016A000011124,Canadian Pacific,"Diesel, yard switching",Litres,203,thousands,3,47265
1988,Canada,2016A000011124,Canadian Pacific,"Diesel, work train",Litres,203,thousands,3,8070
1988,Canada,2016A000011124,Canadian Pacific,Total cost of diesel fuel,Dollars,81,units ,0,249715146
1988,Canada,2016A000011124,VIA Rail,Total diesel,Litres,203,thousands,3,117560
1988,Canada,2016A000011124,VIA Rail,"Diesel, freight",Litres,203,thousands,3,0
1988,Canada,2016A000011124,VIA Rail,"Diesel, passenger",Litres,203,thousands,3,117560
1988,Canada,2016A000011124,VIA Rail,"Diesel, yard switching",Litres,203,thousands,3,0
1988,Canada,2016A000011124,VIA Rail,"Diesel, work train",Litres,203,thousands,3,0
1988,Canada,2016A000011124,VIA Rail,Total cost of diesel fuel,Dollars,81,units ,0,36446000
1988,Canada,2016A000011124,Regional railways,Total diesel,Litres,203,thousands,3,181964
1988,Canada,2016A000011124,Regional railways,"Diesel, freight",Litres,203,thousands,3,157354
1988,Canada,2016A000011124,Regional railways,"Diesel, passenger",Litres,203,thousands,3,7796
1988,Canada,2016A000011124,Regional railways,"Diesel, yard switching",Litres,203,thousands,3,11955
1988,Canada,2016A000011124,Regional railways,"Diesel, work train",Litres,203,thousands,3,4859
1988,Canada,2016A000011124,Regional railways,Total cost of diesel fuel,Dollars,81,units ,0,49479094
1989,Canada,2016A000011124,Total companies,Total diesel,Litres,203,thousands,3,2024349
1989,Canada,2016A000011124,Total companies,"Diesel, freight",Litres,203,thousands,3,1770873
1989,Canada,2016A000011124,Total companies,"Diesel, passenger",Litres,203,thousands,3,126605
1989,Canada,2016A000011124,Total companies,"Diesel, yard switching",Litres,203,thousands,3,109556
1989,Canada,2016A000011124,Total companies,"Diesel, work train",Litres,203,thousands,3,17315
1989,Canada,2016A000011124,Total companies,Total cost of diesel fuel,Dollars,81,units ,0,613680725
1989,Canada,2016A000011124,Canadian National,Total diesel,Litres,203,thousands,3,906336
1989,Canada,2016A000011124,Canadian National,"Diesel, freight",Litres,203,thousands,3,845541
1989,Canada,2016A000011124,Canadian National,"Diesel, passenger",Litres,203,thousands,3,0
1989,Canada,2016A000011124,Canadian National,"Diesel, yard switching",Litres,203,thousands,3,52956
1989,Canada,2016A000011124,Canadian National,"Diesel, work train",Litres,203,thousands,3,7840
1989,Canada,2016A000011124,Canadian National,Total cost of diesel fuel,Dollars,81,units ,0,301815033
1989,Canada,2016A000011124,Canadian Pacific,Total diesel,Litres,203,thousands,3,817799
1989,Canada,2016A000011124,Canadian Pacific,"Diesel, freight",Litres,203,thousands,3,769307
1989,Canada,2016A000011124,Canadian Pacific,"Diesel, passenger",Litres,203,thousands,3,0
1989,Canada,2016A000011124,Canadian Pacific,"Diesel, yard switching",Litres,203,thousands,3,43515
1989,Canada,2016A000011124,Canadian Pacific,"Diesel, work train",Litres,203,thousands,3,4977
1989,Canada,2016A000011124,Canadian Pacific,Total cost of diesel fuel,Dollars,81,units ,0,229441906
1989,Canada,2016A000011124,VIA Rail,Total diesel,Litres,203,thousands,3,116995
1989,Canada,2016A000011124,VIA Rail,"Diesel, freight",Litres,203,thousands,3,0
1989,Canada,2016A000011124,VIA Rail,"Diesel, passenger",Litres,203,thousands,3,116995
1989,Canada,2016A000011124,VIA Rail,"Diesel, yard switching",Litres,203,thousands,3,0
1989,Canada,2016A000011124,VIA Rail,"Diesel, work train",Litres,203,thousands,3,0
1989,Canada,2016A000011124,VIA Rail,Total cost of diesel fuel,Dollars,81,units ,0,30405748
1989,Canada,2016A000011124,Regional railways,Total diesel,Litres,203,thousands,3,183219
1989,Canada,2016A000011124,Regional railways,"Diesel, freight",Litres,203,thousands,3,156025
1989,Canada,2016A000011124,Regional railways,"Diesel, passenger",Litres,203,thousands,3,9610
1989,Canada,2016A000011124,Regional railways,"Diesel, yard switching",Litres,203,thousands,3,13086
1989,Canada,2016A000011124,Regional railways,"Diesel, work train",Litres,203,thousands,3,4498
1989,Canada,2016A000011124,Regional railways,Total cost of diesel fuel,Dollars,81,units ,0,52018038
1990,Canada,2016A000011124,Total companies,Total diesel,Litres,203,thousands,3,1913814
1990,Canada,2016A000011124,Total companies,"Diesel, freight",Litres,203,thousands,3,1709760
1990,Canada,2016A000011124,Total companies,"Diesel, passenger",Litres,203,thousands,3,74878
1990,Canada,2016A000011124,Total companies,"Diesel, yard switching",Litres,203,thousands,3,116117
1990,Canada,2016A000011124,Total companies,"Diesel, work train",Litres,203,thousands,3,13058
1990,Canada,2016A000011124,Total companies,Total cost of diesel fuel,Dollars,81,units ,0,651420485
1990,Canada,2016A000011124,Canadian National,Total diesel,Litres,203,thousands,3,879142
1990,Canada,2016A000011124,Canadian National,"Diesel, freight",Litres,203,thousands,3,814586
1990,Canada,2016A000011124,Canadian National,"Diesel, passenger",Litres,203,thousands,3,0
1990,Canada,2016A000011124,Canadian National,"Diesel, yard switching",Litres,203,thousands,3,58420
1990,Canada,2016A000011124,Canadian National,"Diesel, work train",Litres,203,thousands,3,6136
1990,Canada,2016A000011124,Canadian National,Total cost of diesel fuel,Dollars,81,units ,0,319320848
1990,Canada,2016A000011124,Canadian Pacific,Total diesel,Litres,203,thousands,3,814917
1990,Canada,2016A000011124,Canadian Pacific,"Diesel, freight",Litres,203,thousands,3,767230
1990,Canada,2016A000011124,Canadian Pacific,"Diesel, passenger",Litres,203,thousands,3,0
1990,Canada,2016A000011124,Canadian Pacific,"Diesel, yard switching",Litres,203,thousands,3,44565
1990,Canada,2016A000011124,Canadian Pacific,"Diesel, work train",Litres,203,thousands,3,3122
1990,Canada,2016A000011124,Canadian Pacific,Total cost of diesel fuel,Dollars,81,units ,0,259809657
1990,Canada,2016A000011124,VIA Rail,Total diesel,Litres,203,thousands,3,68857
1990,Canada,2016A000011124,VIA Rail,"Diesel, freight",Litres,203,thousands,3,0
1990,Canada,2016A000011124,VIA Rail,"Diesel, passenger",Litres,203,thousands,3,68110
1990,Canada,2016A000011124,VIA Rail,"Diesel, yard switching",Litres,203,thousands,3,748
1990,Canada,2016A000011124,VIA Rail,"Diesel, work train",Litres,203,thousands,3,0
1990,Canada,2016A000011124,VIA Rail,Total cost of diesel fuel,Dollars,81,units ,0,23942534
1990,Canada,2016A000011124,Regional railways,Total diesel,Litres,203,thousands,3,150898
1990,Canada,2016A000011124,Regional railways,"Diesel, freight",Litres,203,thousands,3,127944
1990,Canada,2016A000011124,Regional railways,"Diesel, passenger",Litres,203,thousands,3,6769
1990,Canada,2016A000011124,Regional railways,"Diesel, yard switching",Litres,203,thousands,3,12384
1990,Canada,2016A000011124,Regional railways,"Diesel, work train",Litres,203,thousands,3,3801
1990,Canada,2016A000011124,Regional railways,Total cost of diesel fuel,Dollars,81,units ,0,48347446
1991,Canada,2016A000011124,Total companies,Total diesel,Litres,203,thousands,3,1972528
1991,Canada,2016A000011124,Total companies,"Diesel, freight",Litres,203,thousands,3,1774337
1991,Canada,2016A000011124,Total companies,"Diesel, passenger",Litres,203,thousands,3,70096
1991,Canada,2016A000011124,Total companies,"Diesel, yard switching",Litres,203,thousands,3,116916
1991,Canada,2016A000011124,Total companies,"Diesel, work train",Litres,203,thousands,3,11179
1991,Canada,2016A000011124,Total companies,Total cost of diesel fuel,Dollars,81,units ,0,641975222
1991,Canada,2016A000011124,Canadian National,Total diesel,Litres,203,thousands,3,911080
1991,Canada,2016A000011124,Canadian National,"Diesel, freight",Litres,203,thousands,3,849186
1991,Canada,2016A000011124,Canadian National,"Diesel, passenger",Litres,203,thousands,3,0
1991,Canada,2016A000011124,Canadian National,"Diesel, yard switching",Litres,203,thousands,3,58616
1991,Canada,2016A000011124,Canadian National,"Diesel, work train",Litres,203,thousands,3,3277
1991,Canada,2016A000011124,Canadian National,Total cost of diesel fuel,Dollars,81,units ,0,324432341
1991,Canada,2016A000011124,Canadian Pacific,Total diesel,Litres,203,thousands,3,845596
1991,Canada,2016A000011124,Canadian Pacific,"Diesel, freight",Litres,203,thousands,3,794465
1991,Canada,2016A000011124,Canadian Pacific,"Diesel, passenger",Litres,203,thousands,3,0
1991,Canada,2016A000011124,Canadian Pacific,"Diesel, yard switching",Litres,203,thousands,3,46460
1991,Canada,2016A000011124,Canadian Pacific,"Diesel, work train",Litres,203,thousands,3,4671
1991,Canada,2016A000011124,Canadian Pacific,Total cost of diesel fuel,Dollars,81,units ,0,252644218
1991,Canada,2016A000011124,VIA Rail,Total diesel,Litres,203,thousands,3,63955
1991,Canada,2016A000011124,VIA Rail,"Diesel, freight",Litres,203,thousands,3,0
1991,Canada,2016A000011124,VIA Rail,"Diesel, passenger",Litres,203,thousands,3,63446
1991,Canada,2016A000011124,VIA Rail,"Diesel, yard switching",Litres,203,thousands,3,509
1991,Canada,2016A000011124,VIA Rail,"Diesel, work train",Litres,203,thousands,3,0
1991,Canada,2016A000011124,VIA Rail,Total cost of diesel fuel,Dollars,81,units ,0,19044806
1991,Canada,2016A000011124,Regional railways,Total diesel,Litres,203,thousands,3,151898
1991,Canada,2016A000011124,Regional railways,"Diesel, freight",Litres,203,thousands,3,130685
1991,Canada,2016A000011124,Regional railways,"Diesel, passenger",Litres,203,thousands,3,6650
1991,Canada,2016A000011124,Regional railways,"Diesel, yard switching",Litres,203,thousands,3,11331
1991,Canada,2016A000011124,Regional railways,"Diesel, work train",Litres,203,thousands,3,3231
1991,Canada,2016A000011124,Regional railways,Total cost of diesel fuel,Dollars,81,units ,0,45853857
1992,Canada,2016A000011124,Total companies,Total diesel,Litres,203,thousands,3,1894237
1992,Canada,2016A000011124,Total companies,"Diesel, freight",Litres,203,thousands,3,1704686
1992,Canada,2016A000011124,Total companies,"Diesel, passenger",Litres,203,thousands,3,61535
1992,Canada,2016A000011124,Total companies,"Diesel, yard switching",Litres,203,thousands,3,116061
1992,Canada,2016A000011124,Total companies,"Diesel, work train",Litres,203,thousands,3,11955
1992,Canada,2016A000011124,Total companies,Total cost of diesel fuel,Dollars,81,units ,0,573189775
1992,Canada,2016A000011124,Canadian National,Total diesel,Litres,203,thousands,3,895952
1992,Canada,2016A000011124,Canadian National,"Diesel, freight",Litres,203,thousands,3,832667
1992,Canada,2016A000011124,Canadian National,"Diesel, passenger",Litres,203,thousands,3,0
1992,Canada,2016A000011124,Canadian National,"Diesel, yard switching",Litres,203,thousands,3,59031
1992,Canada,2016A000011124,Canadian National,"Diesel, work train",Litres,203,thousands,3,4254
1992,Canada,2016A000011124,Canadian National,Total cost of diesel fuel,Dollars,81,units ,0,290213000
1992,Canada,2016A000011124,Canadian Pacific,Total diesel,Litres,203,thousands,3,795398
1992,Canada,2016A000011124,Canadian Pacific,"Diesel, freight",Litres,203,thousands,3,744770
1992,Canada,2016A000011124,Canadian Pacific,"Diesel, passenger",Litres,203,thousands,3,0
1992,Canada,2016A000011124,Canadian Pacific,"Diesel, yard switching",Litres,203,thousands,3,46432
1992,Canada,2016A000011124,Canadian Pacific,"Diesel, work train",Litres,203,thousands,3,4196
1992,Canada,2016A000011124,Canadian Pacific,Total cost of diesel fuel,Dollars,81,units ,0,224245642
1992,Canada,2016A000011124,VIA Rail,Total diesel,Litres,203,thousands,3,56010
1992,Canada,2016A000011124,VIA Rail,"Diesel, freight",Litres,203,thousands,3,0
1992,Canada,2016A000011124,VIA Rail,"Diesel, passenger",Litres,203,thousands,3,56010
1992,Canada,2016A000011124,VIA Rail,"Diesel, yard switching",Litres,203,thousands,3,0
1992,Canada,2016A000011124,VIA Rail,"Diesel, work train",Litres,203,thousands,3,0
1992,Canada,2016A000011124,VIA Rail,Total cost of diesel fuel,Dollars,81,units ,0,15567796
1992,Canada,2016A000011124,Regional railways,Total diesel,Litres,203,thousands,3,146876
1992,Canada,2016A000011124,Regional railways,"Diesel, freight",Litres,203,thousands,3,127248
1992,Canada,2016A000011124,Regional railways,"Diesel, passenger",Litres,203,thousands,3,5525
1992,Canada,2016A000011124,Regional railways,"Diesel, yard switching",Litres,203,thousands,3,10598
1992,Canada,2016A000011124,Regional railways,"Diesel, work train",Litres,203,thousands,3,3504
1992,Canada,2016A000011124,Regional railways,Total cost of diesel fuel,Dollars,81,units ,0,43163337
1993,Canada,2016A000011124,Total companies,Total diesel,Litres,203,thousands,3,1906796
1993,Canada,2016A000011124,Total companies,"Diesel, freight",Litres,203,thousands,3,1711074
1993,Canada,2016A000011124,Total companies,"Diesel, passenger",Litres,203,thousands,3,67002
1993,Canada,2016A000011124,Total companies,"Diesel, yard switching",Litres,203,thousands,3,118454
1993,Canada,2016A000011124,Total companies,"Diesel, work train",Litres,203,thousands,3,10266
1993,Canada,2016A000011124,Total companies,Total cost of diesel fuel,Dollars,81,units ,0,578556585
1993,Canada,2016A000011124,Canadian National,Total diesel,Litres,203,thousands,3,885216
1993,Canada,2016A000011124,Canadian National,"Diesel, freight",Litres,203,thousands,3,822648
1993,Canada,2016A000011124,Canadian National,"Diesel, passenger",Litres,203,thousands,3,0
1993,Canada,2016A000011124,Canadian National,"Diesel, yard switching",Litres,203,thousands,3,58561
1993,Canada,2016A000011124,Canadian National,"Diesel, work train",Litres,203,thousands,3,4007
1993,Canada,2016A000011124,Canadian National,Total cost of diesel fuel,Dollars,81,units ,0,285326026
1993,Canada,2016A000011124,Canadian Pacific,Total diesel,Litres,203,thousands,3,808162
1993,Canada,2016A000011124,Canadian Pacific,"Diesel, freight",Litres,203,thousands,3,755527
1993,Canada,2016A000011124,Canadian Pacific,"Diesel, passenger",Litres,203,thousands,3,0
1993,Canada,2016A000011124,Canadian Pacific,"Diesel, yard switching",Litres,203,thousands,3,49177
1993,Canada,2016A000011124,Canadian Pacific,"Diesel, work train",Litres,203,thousands,3,3458
1993,Canada,2016A000011124,Canadian Pacific,Total cost of diesel fuel,Dollars,81,units ,0,235016513
1993,Canada,2016A000011124,VIA Rail,Total diesel,Litres,203,thousands,3,61715
1993,Canada,2016A000011124,VIA Rail,"Diesel, freight",Litres,203,thousands,3,0
1993,Canada,2016A000011124,VIA Rail,"Diesel, passenger",Litres,203,thousands,3,61715
1993,Canada,2016A000011124,VIA Rail,"Diesel, yard switching",Litres,203,thousands,3,0
1993,Canada,2016A000011124,VIA Rail,"Diesel, work train",Litres,203,thousands,3,0
1993,Canada,2016A000011124,VIA Rail,Total cost of diesel fuel,Dollars,81,units ,0,14839867
